,Unnamed: 0,comment_id,video_id,author,comment_text,published_at,like_count
0,0,UgwQfy0VpXXIRhaTF5B4AaABAg,YZ4N8jH5R_M,@nurjannah8803,acara indra harus se rame ini suara jadi tambah seru sunyi bgt,2025-11-11T04:23:30Z,0
1,1,Ugx4wAAoBODqxmyAwE14AaABAg,YZ4N8jH5R_M,@pupungpamungkas5557,iya mirip teh rosa hehe,2025-11-11T04:18:27Z,0
2,3,UgwMidWTArDF-YcnQzV4AaABAg,YZ4N8jH5R_M,@rhiiyoanggara6419,terlalu dar der dor,2025-11-10T16:52:14Z,0
3,4,UgzbQiD2vSzb217TdIR4AaABAg,YZ4N8jH5R_M,@samuelmanalumanalu8681,ga enak ga emosi pak jarwo,2025-11-10T15:38:29Z,0
4,5,UgyufwnzjHLuKIlQa3x4AaABAg,YZ4N8jH5R_M,@Thảo-Khúc-Quốc,mantep juga main cari google lazadatoto barusan wd 3 ikat modal 100 aja,2025-11-10T14:07:10Z,0
5,6,UgwEMIomMM-k5Nehpr14AaABAg,YZ4N8jH5R_M,@NgocHien3f8dcg_248,minimal depo berapa ya bang aku ada saldo 50 nih pingin wd cari google lazadatoto,2025-11-10T14:06:53Z,0
6,7,UgxWVLwk2djv2sRGKx14AaABAg,YZ4N8jH5R_M,@Uyên-Vương-Thanh,cari google lazadatoto bikin gue se lalu stay positif karena gacornya,2025-11-10T14:06:48Z,0
7,8,UgyHpeE_THMh9bIQKA94AaABAg,YZ4N8jH5R_M,@ThuyTramtoli1c_873,nalin ni andal gua cari google lazadatoto jamin betah se mua member dsini,2025-11-10T14:05:56Z,0
8,9,Ugzy6QRHsomLx8Fu6yt4AaABAg,YZ4N8jH5R_M,@Vy.Trần.Bảo,cari google lazadatoto bakal se lalu jadi andal gua akhir bulan bestiee,2025-11-10T14:05:51Z,0
9,10,UgxvnJFeT7qAxYb8pXB4AaABAg,YZ4N8jH5R_M,@bìnhdiệpnguyệt1977,buru coba cari google lazadatoto minimal depo cuman 35k bestie,2025-11-10T14:05:43Z,0
10,11,UgwZ4tawy4mXzb-pP8V4AaABAg,YZ4N8jH5R_M,@Sviệthữu,gak heran sama cari google lazadatoto pantesan se mua pada betah maen,2025-11-10T14:05:28Z,0
11,12,UgwC1f126wXobVVmbgt4AaABAg,YZ4N8jH5R_M,@TrangVõXuân-9133,aku stay maen cari google lazadatoto se lalu dapat berkah nyakuy klaim new member cari google lazadatoto auto wd sih pasti,2025-11-10T14:05:19Z,0
12,13,UgxO_d1S74S_Eljio_V4AaABAg,YZ4N8jH5R_M,@Minh.Liễu.Xuân,nepati janji kali admin cari google lazadatoto salutbanget gua,2025-11-10T14:05:18Z,0
13,14,Ugy7NLb2UAy_xweCEI54AaABAg,YZ4N8jH5R_M,@ThanhHuong_940,gampang banget rasa wd cari google lazadatoto,2025-11-10T14:04:54Z,0
14,15,UgzxUZFRINxspHtfbQ94AaABAg,YZ4N8jH5R_M,@TuyetNga_hwTuyetNga_358,website gacor proses cepat se perti kilat cuma situs cari google lazadatoto,2025-11-10T14:04:40Z,0
15,16,Ugy-9YniJQSfxYzWEjp4AaABAg,YZ4N8jH5R_M,@HoaLan71nzdl_925,ada cambodia taiwan china japan hongkong sydney singapore p00ls gak ribet cari google lazadatoto,2025-11-10T14:03:57Z,0
