Author,Komentar,Prediksi,Score,Raw_Prob,Metode,Is_Judol
@Harisx01Dahlan,Siapa nih yg nonton lagi Desember 30 2025 otw 2026 🤣,🟢 AMAN,19.1%,0.19082360483933952,Weighted Average,0
@ainunnazit3076,Kalo pura pura darat di awal mending pake akun kecil bang biar ga ketahuan biar seru,🟢 AMAN,27.0%,0.2704325320893467,Weighted Average,0
@refkyrahardjoe1490,😅😅😅,🟢 AMAN,13.8%,0.13801227920308085,Weighted Average,0
@SaefudinAceng,2025 blik lgi kesini karna gbut,🟢 AMAN,8.9%,0.08858520583998934,Weighted Average,0
@HerlambangSaputra020,jadi pengen main fany,🟢 AMAN,19.0%,0.18972599449287808,Weighted Average,0
@LawR_22,gda ngeprank ngepranknya,🟢 AMAN,11.7%,0.11675290209455108,Weighted Average,0
@dadansupriyatno494,0:45,🟢 AMAN,8.3%,0.08305940170760162,Weighted Average,0
@IanRoy-c4g,"Onic skylar bng, bukan rrq skylar😅",🟢 AMAN,9.4%,0.09437545113975254,Weighted Average,0
@give16272,"Gw nonton 2025, ad yg sama?😢",🟢 AMAN,13.2%,0.13161500343420304,Weighted Average,0
@putryLestari98,semngttt bng dap maaf baru nonton 😢😢😢,🟢 AMAN,16.0%,0.16006293158357465,Weighted Average,0
@ShidoSkizo,ini mah onic skylar,🟢 AMAN,9.5%,0.09464745319437805,Weighted Average,0
@Moskyyxmlbb,Siapa itu RRQ Skylar?,🟢 AMAN,13.3%,0.1330520898996974,Weighted Average,0
@RifkiMaulana-o1z,Mbar Ama gua ngakak 😂,🟢 AMAN,14.9%,0.14859990459183436,Weighted Average,0
@gbisianff,untung bgt global dpt pemandangan duo pro player,🟢 AMAN,36.3%,0.3625497244831051,Weighted Average,0
@CEPISopian-s4u,pake akun kecil harunya bg yang bg skylar gatau,🟢 AMAN,15.1%,0.15052612130242837,Weighted Average,0
@aldhisuandii4528,😂,🟢 AMAN,8.1%,0.08073537424661872,Weighted Average,0
@BarOk-l6t,Tembus tembok fanyy nya,🟢 AMAN,19.4%,0.19372359013116153,Weighted Average,0
@AhmadRifai-er1cu,Hallo bg gw dari tahun 2025 kembali ke masa lalu,🟢 AMAN,29.0%,0.28990982527435427,Weighted Average,0
@Dhanitama-p9b,Lah dari Lampung bang ?,🟢 AMAN,11.0%,0.10961215314142095,Weighted Average,0
@yak_gg,6:19  watahel :☠️☠️,🟢 AMAN,17.5%,0.17469233451943275,Weighted Average,0
